indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
total greenhouse gas emissions per year,,1,1,,,,,,1,,,,,,3,1,1,1,1,,,Direct drivers,,Climate change,
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,State of economy,
number of countries using ecosystem-based approaches to managing marine areas,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
average marine acidity (ph) measured at agreed suite of representative sampling stations,,,1,,,,,,1,,,,,,2,1,1,1,,,,ecosystems,Direct drivers,State of ecosystems (marine),Climate change
coverage of protected areas in relation to marine areas,,,1,,,1,,,1,,,,,,3,1,1,1,1,,,ecosystems,,Area conservation,
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",,,1,,,,,,1,,,,,,2,1,1,1,,,,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,,1,,,,,,1,,,,,,2,1,1,1,,,,ecosystems,,Area conservation,
coverage by protected areas of important sites for mountain biodiversity,,1,1,,,,,,1,,,,,,3,1,1,1,1,,,ecosystems,,Area conservation,
proportion of traded wildlife that was poached or illicitly trafficked,,,1,,,,,,1,,,,,,2,1,1,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,,,1,,1,1,,,1,,,,,,4,1,1,1,1,,,Governance,,Nature-based legislation,
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
official development assistance on conservation and sustainable use of biodiversity,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
"number of victims of intentional homicide per 100,000 population, by sex and age",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
"conflict-related deaths per 100,000 population, by sex, age and cause",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to physical violence in the previous 12 months,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to psychological violence in the previous 12 months,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to sexual violence in the previous 12 months,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population that feel safe walking alone around the area they live after dark,,,,,,,,,1,,,,,,1,,1,1,,,,Human well-being,Knowledge systems,Equity,Information on society and socio-economics
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,,,,,,,,,1,,,,,,1,,1,1,,,,Human well-being,Governance,Wellness,Broken governance
unsentenced detainees as a proportion of overall prison population,,,,,,,,,1,,,,,,1,,1,1,,,,Governance,Knowledge systems,Broken governance,Information on society and socio-economics
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",,,,,,,,,1,,,,,,1,,1,1,,,,Knowledge systems,Governance,Information on society and socio-economics,Legislation/governance
total value of inward and outward illicit financial flows (in current united states dollars),,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,State of economy,Broken governance
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",,,,,,,,,1,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Human well-being,Information on society and socio-economics,Wellness
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,State of economy,Legislation/governance
proportion of population satisfied with their last experience of public services,,,,,,,,,1,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Knowledge systems,Information on society and socio-economics,Information on society and socio-economics
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,Governance,Information on society and socio-economics,Broken governance
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",,,,,,,,,1,,,,,,1,,1,1,,,,Human well-being,,Equity,
existence of independent national human rights institutions in compliance with the paris principles,,,,,,,,,1,,,,,,1,,1,1,,,,Human well-being,,Equity,
"total government revenue as a proportion of gross domestic product, by source",,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,Information on society and socio-economics,
proportion of domestic budget funded by domestic taxes,,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,State of economy,
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,National/international cooperation,
additional financial resources mobilized for developing countries from multiple sources,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,,Information on society and socio-economics,
volume of remittances (in united states dollars) as a proportion of total gross domestic product,,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,Information on society and socio-economics,
debt service as a proportion of exports of goods and services,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,,State of economy,
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,National/international cooperation,
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",,,,,,,,,1,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
proportion of individuals using the internet,,,1,,,,,,1,,,,,,2,1,1,1,,,,Knowledge systems,,Information on society and socio-economics,
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,National/international cooperation,
worldwide weighted tariff-average,,,1,,,,,,1,,,,,,2,1,1,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
developing countries’ and least developed countries’ share of global exports,,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,State of economy,
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Legislation/governance,
macroeconomic dashboard,,,,,,,,,1,,,,,,1,,1,1,,,,Human assets,,State of economy,
number of countries with mechanisms in place to enhance policy coherence of sustainable development,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Legislation/governance,
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Nature-based legislation,
amount in united states dollars committed to public-private partnerships for infrastructure,,,1,,,,,,1,,,,,,2,1,1,1,,,,Human assets,,Infrastructure (build-up area),
statistical capacity indicator for sustainable development goal monitoring,,,1,,,,,,1,,,,,,2,1,1,1,,,,Knowledge systems,,Information on society and socio-economics,
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Legislation/governance,
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",,,1,,,,,,1,,,,,,2,1,1,1,,,,Governance,,Legislation/governance,
proportion of countries that have conducted at least one population and housing census in the last 10 years,,,,,,,,,1,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,,,,,,,,,1,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
the number of parties that are in category 1 under the national legislation project,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties that have designated management authorities and scientific authorities,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties subject to cites recommendations on trade,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties that have adopted standard procedures for making non detriment findings,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number and proportion of annual export quotas based on population surveys,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,,Specific information on human-nature relationship,
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Governance,Nature-based legislation,National/international cooperation
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,,Specific information on human-nature relationship,
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the percentage of the work programme agreed by the conference of the parties that is fully funded,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based funding,
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of parties raising funds for cites implementation through user fees or other mechanisms,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based funding,
the number of parties using incentive measures as part of their implementation of the convention,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based funding,
the number of capacity building activities mandated by resolutions and decisions that are fully funded,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based funding,
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Governance,Nature-based funding,National/international cooperation
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Governance,Nature-based funding,National/international cooperation
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Knowledge systems,Nature-based funding,Specific information on human-nature relationship
the number of visits to the cites website,,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,,Specific information on human-nature relationship,
the number of parties with web pages on cites and its requirements,,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,,Specific information on human-nature relationship,
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,Governance,Specific information on human-nature relationship,Nature-based legislation
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,,,,,,,,,,1,,,,,1,,1,1,,,,Knowledge systems,Governance,Specific information on human-nature relationship,National/international cooperation
the conservation status of species listed on the cites appendices has stabilized or improved,,,,,,,,,,1,,,,,1,,1,1,,,,biodiversity,,Change in biodiversity,
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),,,,,,,,,,1,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Governance,Nature-based legislation,National/international cooperation
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,,,,,,,,,,1,,,,,1,,1,1,,,,Governance,Governance,Nature-based legislation,National/international cooperation
trends in awareness and attitudes to migratory species,,,,,,,,,,,1,,,,1,,1,1,,,,Knowledge systems,biodiversity,Information on biodiversity,State of biodiversity
trends in integration of migratory species values in national and sectoral policies,,,,,,,,,,,1,,,,1,,1,1,,,,Governance,Knowledge systems,Nature-based legislation,Information on biodiversity
status of migratory species in trade,,,,,,,,,,,1,,,,1,,1,1,,,,Knowledge systems,Ecosystem services,Information on biodiversity,Specific monetary valuation of nature contribution
wild commodities index (migratory species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
proportion of migratory fish stocks in safe biological limits,,,,,,,,,,,1,,,,1,,1,1,,,,Ecosystem services,biodiversity,Specific mention of sustainable use of species/ecosystems,State of biodiversity
trends in threats to migratory species,,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (migratory species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (cms-listed bird species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (migratory bird species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (cms-listed bird and mammal species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
living planet index (migratory species),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
wild bird index (migratory birds),,,,,,,,,,,1,,,,1,,1,1,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
trends in distribution of migratory species,,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
coverage of key habitats for migratory species in protected areas,,,,,,,,,,,1,,,,1,,1,1,,,,ecosystems,Governance,Area conservation,Nature-based legislation
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,,,,,,,,,,,1,,,,1,,1,1,,,,ecosystems,Governance,Change in ecosystems,Nature-based legislation
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,,,,,,,,,,,1,,,,1,,1,1,,,,ecosystems,Governance,Change in ecosystems,Nature-based legislation
management effectiveness of areas protected specifically for migratory species,,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,Governance,Change in biodiversity,Nature-based legislation
trends in delivery of ecosystem services directly dependent on migratory species,,,,,,,,,,,1,,,,1,,1,1,,,,ecosystems,Governance,Change in ecosystems,Nature-based legislation
trends in genetic diversity of selected species,,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,biodiversity,Change in biodiversity,Genetic diversity
trends in integration of migratory species concerns in national biodiversity strategies and action plans,,,,,,,,,,,1,,,,1,,1,1,,,,biodiversity,Governance,Change in biodiversity,Nature-based legislation
"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",,,,,,,,,,,1,,,,1,,1,1,,,,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Information on society and socio-economics
number of validated publications on migratory species conservation actively disseminated for policy-relevant use,,,,,,,,,,,1,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",,,,,,,,,,,1,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",,,,,,,,,,,1,,,,1,,1,1,,,,Governance,,Nature-based legislation,
the recognition of combating wildlife crime as a high priority for national law enforcement agencies,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the recognition of wildlife crime involving organized criminal groups as serious crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of a national enforcement strategy and/or action plan for wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent of international cooperation to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the level of staff resources in national law enforcement agencies to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
participation in multi-disciplinary enforcement operations targeting wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number (and type) of seizures of specimens of illicitly-traded wildlife,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the capacity of national law enforcement agencies to investigate wildlife crime cases,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent of national procedures and systems to collate information on wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which information on wildlife crime is verified and analyzed to generate intelligence,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which criminal intelligence is used to support investigations into wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which follow-up investigations are conducted for wildlife crime cases,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the category in which cites implementation legislation has been placed under the cites national legislation project,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the percentage of wildlife crime cases that were prosecuted in court,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the percentage of wildlife crime cases that were resolved with administrative penalties,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the capacity of prosecutors to manage wildlife crime cases,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of national guidelines for the prosecution of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the use of asset forfeiture and recovery legislation in wildlife crime cases,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which the drivers of wildlife crime in the country are known and understood,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which activities to address the demand of illicit wildlife products are implemented,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
